'- 송전단 기준 전력수요 예측값을 매 5분 단위로 제공합니다.

시간,수요예측MW
2025-05-01,51665.15625
2025-05-01 00:05:00,51218.316406
2025-05-01 00:10:00,50865.777344
2025-05-01 00:15:00,50863.378906
2025-05-01 00:20:00,50494.90625
2025-05-01 00:25:00,50161.429688
2025-05-01 00:30:00,50020.117188
2025-05-01 00:35:00,49932.539062
2025-05-01 00:40:00,49621.859375
2025-05-01 00:45:00,49575.617188
2025-05-01 00:50:00,49439.378906
2025-05-01 00:55:00,49118.085938
2025-05-01 01:00:00,48943.078125
2025-05-01 01:05:00,48437.671875
2025-05-01 01:10:00,48293.5625
2025-05-01 01:15:00,48113.761719
2025-05-01 01:20:00,48178.75
2025-05-01 01:25:00,47919.566406
2025-05-01 01:30:00,47895.6875
2025-05-01 01:35:00,47705.5625
2025-05-01 01:40:00,47604.625
2025-05-01 01:45:00,47698.710938
2025-05-01 01:50:00,47693.390625
2025-05-01 01:55:00,47739.964844
2025-05-01 02:00:00,47581.632812
2025-05-01 02:05:00,47641.296875
2025-05-01 02:10:00,47569.75
2025-05-01 02:15:00,47705.390625
2025-05-01 02:20:00,47461.417969
2025-05-01 02:25:00,47424.117188
2025-05-01 02:30:00,47608.375
2025-05-01 02:35:00,47913.019531
2025-05-01 02:40:00,48322.980469
2025-05-01 02:45:00,48216.769531
2025-05-01 02:50:00,48122.785156
2025-05-01 02:55:00,48129.527344
2025-05-01 03:00:00,48242.210938
2025-05-01 03:05:00,48074.054688
2025-05-01 03:10:00,47856.242188
2025-05-01 03:15:00,47947.738281
2025-05-01 03:20:00,47929.453125
2025-05-01 03:25:00,47848.542969
2025-05-01 03:30:00,47774.65625
2025-05-01 03:35:00,47693.941406
2025-05-01 03:40:00,47611.894531
2025-05-01 03:45:00,47409.082031
2025-05-01 03:50:00,47380.03125
2025-05-01 03:55:00,47421.953125
2025-05-01 04:00:00,47490.808594
2025-05-01 04:05:00,47499.285156
2025-05-01 04:10:00,47432.375
2025-05-01 04:15:00,47295.550781
2025-05-01 04:20:00,47284.675781
2025-05-01 04:25:00,47369.410156
2025-05-01 04:30:00,47481.644531
2025-05-01 04:35:00,47621.601562
2025-05-01 04:40:00,47340.84375
2025-05-01 04:45:00,47425.304688
2025-05-01 04:50:00,47470.945312
2025-05-01 04:55:00,47368.085938
2025-05-01 05:00:00,47466.074219
2025-05-01 05:05:00,47462.933594
2025-05-01 05:10:00,47699.628906
2025-05-01 05:15:00,47603.84375
2025-05-01 05:20:00,47274.503906
2025-05-01 05:25:00,47208.613281
2025-05-01 05:30:00,46959.914062
2025-05-01 05:35:00,47158.957031
2025-05-01 05:40:00,47245.390625
2025-05-01 05:45:00,47139.003906
2025-05-01 05:50:00,46971.386719
2025-05-01 05:55:00,47176.617188
2025-05-01 06:00:00,47310.699219
2025-05-01 06:05:00,47136.707031
2025-05-01 06:10:00,46851.75
2025-05-01 06:15:00,46876.375
2025-05-01 06:20:00,46889.78125
2025-05-01 06:25:00,46777.59375
2025-05-01 06:30:00,46146.019531
2025-05-01 06:35:00,46027.039062
2025-05-01 06:40:00,45881.925781
2025-05-01 06:45:00,45932.800781
2025-05-01 06:50:00,45859.710938
2025-05-01 06:55:00,45537.160156
2025-05-01 07:00:00,45448.757812
2025-05-01 07:05:00,45514.445312
2025-05-01 07:10:00,45913.785156
2025-05-01 07:15:00,45891.167969
2025-05-01 07:20:00,45819.945312
2025-05-01 07:25:00,45778.183594
2025-05-01 07:30:00,45604.652344
2025-05-01 07:35:00,45536.671875
2025-05-01 07:40:00,45364.773438
2025-05-01 07:45:00,45223.347656
2025-05-01 07:50:00,45043.78125
2025-05-01 07:55:00,45177.5
2025-05-01 08:00:00,44953.945312
2025-05-01 08:05:00,44878.035156
2025-05-01 08:10:00,45335.84375
2025-05-01 08:15:00,45931.207031
2025-05-01 08:20:00,46051.769531
2025-05-01 08:25:00,45835.140625
2025-05-01 08:30:00,45824.1875
2025-05-01 08:35:00,45883.082031
2025-05-01 08:40:00,46133.078125
2025-05-01 08:45:00,46173.242188
2025-05-01 08:50:00,46333.40625
2025-05-01 08:55:00,46554.425781
2025-05-01 09:00:00,46826.09375
2025-05-01 09:05:00,46990.5
2025-05-01 09:10:00,47188.871094
2025-05-01 09:15:00,47521.375
2025-05-01 09:20:00,47712.246094
2025-05-01 09:25:00,47768.324219
2025-05-01 09:30:00,47980.292969
2025-05-01 09:35:00,47987.960938
2025-05-01 09:40:00,48145.816406
2025-05-01 09:45:00,48292.117188
2025-05-01 09:50:00,48500.589844
2025-05-01 09:55:00,48770.273438
2025-05-01 10:00:00,48936.054688
2025-05-01 10:05:00,48811.765625
2025-05-01 10:10:00,49134.726562
2025-05-01 10:15:00,49200.6875
2025-05-01 10:20:00,49117.871094
2025-05-01 10:25:00,49469.15625
2025-05-01 10:30:00,49719.636719
2025-05-01 10:35:00,49746.917969
2025-05-01 10:40:00,49771.019531
2025-05-01 10:45:00,49823.519531
2025-05-01 10:50:00,50037.710938
2025-05-01 10:55:00,49826.988281
2025-05-01 11:00:00,49745.378906
2025-05-01 11:05:00,49353.714844
2025-05-01 11:10:00,49270.765625
2025-05-01 11:15:00,49138.804688
2025-05-01 11:20:00,49173.914062
2025-05-01 11:25:00,49328.976562
2025-05-01 11:30:00,49324.71875
2025-05-01 11:35:00,49624.09375
2025-05-01 11:40:00,49713.007812
2025-05-01 11:45:00,49849.640625
2025-05-01 11:50:00,50103.480469
2025-05-01 11:55:00,50090.78125
2025-05-01 12:00:00,50225.234375
2025-05-01 12:05:00,50665.789062
2025-05-01 12:10:00,50995.617188
2025-05-01 12:15:00,51131.277344
2025-05-01 12:20:00,51160.179688
2025-05-01 12:25:00,51556.109375
2025-05-01 12:30:00,51510.625
2025-05-01 12:35:00,51316.988281
2025-05-01 12:40:00,51227.113281
2025-05-01 12:45:00,51505.507812
2025-05-01 12:50:00,51703.128906
2025-05-01 12:55:00,51944.976562
2025-05-01 13:00:00,52250.21875
2025-05-01 13:05:00,52483.125
2025-05-01 13:10:00,52789.800781
2025-05-01 13:15:00,52849.3125
2025-05-01 13:20:00,53078.484375
2025-05-01 13:25:00,53404.113281
2025-05-01 13:30:00,53734.238281
2025-05-01 13:35:00,53912.6875
2025-05-01 13:40:00,53881.171875
2025-05-01 13:45:00,54082.359375
2025-05-01 13:50:00,54174.070312
2025-05-01 13:55:00,54353.46875
2025-05-01 14:00:00,54259.675781
2025-05-01 14:05:00,54298.425781
2025-05-01 14:10:00,54157.359375
2025-05-01 14:15:00,54260.300781
2025-05-01 14:20:00,54547.875
2025-05-01 14:25:00,54688.691406
2025-05-01 14:30:00,54726.710938
2025-05-01 14:35:00,54758.414062
2025-05-01 14:40:00,54746.363281
2025-05-01 14:45:00,54732.574219
2025-05-01 14:50:00,54696.378906
2025-05-01 14:55:00,54694.886719
2025-05-01 15:00:00,54556.304688
2025-05-01 15:05:00,54692.3125
2025-05-01 15:10:00,54629.617188
2025-05-01 15:15:00,54611.074219
2025-05-01 15:20:00,54785.289062
2025-05-01 15:25:00,54695.25
2025-05-01 15:30:00,54899.558594
2025-05-01 15:35:00,54728.898438
2025-05-01 15:40:00,54833.839844
2025-05-01 15:45:00,54911.273438
2025-05-01 15:50:00,54728.289062
2025-05-01 15:55:00,54756.269531
2025-05-01 16:00:00,54815.699219
2025-05-01 16:05:00,54593.667969
2025-05-01 16:10:00,54361.800781
2025-05-01 16:15:00,54231.371094
2025-05-01 16:20:00,54320.910156
2025-05-01 16:25:00,54353.070312
2025-05-01 16:30:00,54473.828125
2025-05-01 16:35:00,54389.6875
2025-05-01 16:40:00,54202.007812
2025-05-01 16:45:00,54229.851562
2025-05-01 16:50:00,54390.445312
2025-05-01 16:55:00,54326.605469
2025-05-01 17:00:00,54326.800781
2025-05-01 17:05:00,54040.78125
2025-05-01 17:10:00,53645.675781
2025-05-01 17:15:00,53627.511719
2025-05-01 17:20:00,53610.886719
2025-05-01 17:25:00,53604.652344
2025-05-01 17:30:00,53726.675781
2025-05-01 17:35:00,53745.011719
2025-05-01 17:40:00,53777.351562
2025-05-01 17:45:00,53917.085938
2025-05-01 17:50:00,54133.546875
2025-05-01 17:55:00,54187.257812
2025-05-01 18:00:00,54240.09375
2025-05-01 18:05:00,54469.683594
2025-05-01 18:10:00,54584.257812
2025-05-01 18:15:00,54902.28125
2025-05-01 18:20:00,54891.449219
2025-05-01 18:25:00,54638.113281
2025-05-01 18:30:00,54759.433594
2025-05-01 18:35:00,55005.015625
2025-05-01 18:40:00,55085.175781
2025-05-01 18:45:00,55018.320312
2025-05-01 18:50:00,55051.4375
2025-05-01 18:55:00,54870.085938
2025-05-01 19:00:00,55029.511719
2025-05-01 19:05:00,54919.761719
2025-05-01 19:10:00,55040.933594
2025-05-01 19:15:00,55053.945312
2025-05-01 19:20:00,55252.699219
2025-05-01 19:25:00,55437.816406
2025-05-01 19:30:00,55381.992188
2025-05-01 19:35:00,55498.914062
2025-05-01 19:40:00,55502.050781
2025-05-01 19:45:00,55675.761719
2025-05-01 19:50:00,55686.589844
2025-05-01 19:55:00,55569.445312
2025-05-01 20:00:00,55238.0
2025-05-01 20:05:00,55197.453125
2025-05-01 20:10:00,54950.6875
2025-05-01 20:15:00,55005.28125
2025-05-01 20:20:00,54876.820312
2025-05-01 20:25:00,54698.792969
2025-05-01 20:30:00,54431.5
2025-05-01 20:35:00,54257.597656
2025-05-01 20:40:00,54170.652344
2025-05-01 20:45:00,54067.027344
2025-05-01 20:50:00,54048.703125
2025-05-01 20:55:00,53772.546875
2025-05-01 21:00:00,53530.0625
2025-05-01 21:05:00,53648.382812
2025-05-01 21:10:00,53477.957031
2025-05-01 21:15:00,53304.125
2025-05-01 21:20:00,53386.839844
2025-05-01 21:25:00,53191.003906
2025-05-01 21:30:00,53085.003906
2025-05-01 21:35:00,52890.714844
2025-05-01 21:40:00,52695.160156
2025-05-01 21:45:00,52531.453125
2025-05-01 21:50:00,52273.078125
2025-05-01 21:55:00,52173.257812
2025-05-01 22:00:00,52205.136719
2025-05-01 22:05:00,52398.632812
2025-05-01 22:10:00,52780.902344
2025-05-01 22:15:00,52694.582031
2025-05-01 22:20:00,52726.613281
2025-05-01 22:25:00,52527.4375
2025-05-01 22:30:00,52503.023438
2025-05-01 22:35:00,52472.90625
2025-05-01 22:40:00,52112.988281
2025-05-01 22:45:00,51878.304688
2025-05-01 22:50:00,51749.125
2025-05-01 22:55:00,51647.980469
2025-05-01 23:00:00,51448.320312
2025-05-01 23:05:00,51704.824219
2025-05-01 23:10:00,51787.863281
2025-05-01 23:15:00,51685.804688
2025-05-01 23:20:00,51445.765625
2025-05-01 23:25:00,51095.78125
2025-05-01 23:30:00,50873.433594
2025-05-01 23:35:00,50701.21875
2025-05-01 23:40:00,50119.375
2025-05-01 23:45:00,49860.660156
2025-05-01 23:50:00,49760.792969
2025-05-01 23:55:00,49617.972656
2025-05-02,49485.753906
2025-05-02 00:05:00,48902.863281
2025-05-02 00:10:00,48656.546875
2025-05-02 00:15:00,48612.613281
2025-05-02 00:20:00,48347.589844
2025-05-02 00:25:00,47644.789062
2025-05-02 00:30:00,47406.472656
2025-05-02 00:35:00,46997.296875
2025-05-02 00:40:00,46977.628906
2025-05-02 00:45:00,46870.109375
2025-05-02 00:50:00,46808.738281
2025-05-02 00:55:00,46585.207031
2025-05-02 01:00:00,46379.597656
2025-05-02 01:05:00,46260.683594
2025-05-02 01:10:00,46024.828125
2025-05-02 01:15:00,45801.132812
2025-05-02 01:20:00,45780.1875
2025-05-02 01:25:00,45616.414062
2025-05-02 01:30:00,45440.140625
2025-05-02 01:35:00,45292.832031
2025-05-02 01:40:00,45460.167969
2025-05-02 01:45:00,45645.027344
2025-05-02 01:50:00,45784.886719
2025-05-02 01:55:00,45619.054688
2025-05-02 02:00:00,45750.820312
2025-05-02 02:05:00,45846.1875
2025-05-02 02:10:00,46113.429688
2025-05-02 02:15:00,46358.945312
2025-05-02 02:20:00,46412.039062
2025-05-02 02:25:00,46358.191406
2025-05-02 02:30:00,46390.386719
2025-05-02 02:35:00,46318.378906
2025-05-02 02:40:00,46255.652344
2025-05-02 02:45:00,46147.4375
2025-05-02 02:50:00,45852.097656
2025-05-02 02:55:00,45832.222656
2025-05-02 03:00:00,46013.945312
2025-05-02 03:05:00,46035.65625
2025-05-02 03:10:00,45973.394531
2025-05-02 03:15:00,46061.027344
2025-05-02 03:20:00,45868.402344
2025-05-02 03:25:00,45900.988281
2025-05-02 03:30:00,45895.761719
2025-05-02 03:35:00,45790.855469
2025-05-02 03:40:00,45827.867188
2025-05-02 03:45:00,45663.242188
2025-05-02 03:50:00,45569.667969
2025-05-02 03:55:00,45588.683594
2025-05-02 04:00:00,45720.675781
2025-05-02 04:05:00,45806.726562
2025-05-02 04:10:00,45846.960938
2025-05-02 04:15:00,46037.066406
2025-05-02 04:20:00,45951.691406
2025-05-02 04:25:00,45935.964844
2025-05-02 04:30:00,45993.0
2025-05-02 04:35:00,45974.640625
2025-05-02 04:40:00,45916.375
2025-05-02 04:45:00,45981.335938
2025-05-02 04:50:00,46089.253906
2025-05-02 04:55:00,46149.890625
2025-05-02 05:00:00,46137.488281
2025-05-02 05:05:00,45994.917969
2025-05-02 05:10:00,46225.109375
2025-05-02 05:15:00,46499.027344
2025-05-02 05:20:00,46495.449219
2025-05-02 05:25:00,46559.960938
2025-05-02 05:30:00,46406.511719
2025-05-02 05:35:00,46399.320312
2025-05-02 05:40:00,46802.957031
2025-05-02 05:45:00,46696.230469
2025-05-02 05:50:00,46672.152344
2025-05-02 05:55:00,46835.953125
2025-05-02 06:00:00,46631.308594
2025-05-02 06:05:00,46492.753906
2025-05-02 06:10:00,46449.273438
2025-05-02 06:15:00,46053.9375
2025-05-02 06:20:00,45950.957031
2025-05-02 06:25:00,46094.273438
2025-05-02 06:30:00,46278.09375
2025-05-02 06:35:00,46124.675781
2025-05-02 06:40:00,46215.332031
2025-05-02 06:45:00,46207.484375
2025-05-02 06:50:00,46291.84375
2025-05-02 06:55:00,46186.171875
2025-05-02 07:00:00,46186.171875
2025-05-02 07:05:00,46006.726562
2025-05-02 07:10:00,46053.878906
2025-05-02 07:15:00,45911.964844
2025-05-02 07:20:00,45784.480469
2025-05-02 07:25:00,45534.261719
2025-05-02 07:30:00,45199.863281
2025-05-02 07:35:00,44988.226562
2025-05-02 07:40:00,45017.871094
2025-05-02 07:45:00,44932.734375
2025-05-02 07:50:00,44806.8125
2025-05-02 07:55:00,44872.460938
2025-05-02 08:00:00,44559.699219
2025-05-02 08:05:00,44214.4375
2025-05-02 08:10:00,44000.558594
